Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
09442,1970 March 7,17:38:30,40,-369,139,T,0.4473,1.0414,18.2N,94.7W,63,150,153,03m28s
09443,1970 August 31,21:55:30,41,-363,144,A,-0.5364,0.94,20.3S,164.0W,57,29,258,06m47s
09444,1971 February 25,09:38:07,41,-357,149,P,1.1188,0.7872,61.4N,33.5W,0,110,,
09445,1971 July 22,09:31:55,42,-352,116,Pe,1.513,0.0689,63.5N,177.0E,0,321,,
09446,1971 August 20,22:39:31,42,-351,154,P,-1.2659,0.508,61.7S,135.4E,0,63,,
09447,1972 January 16,11:03:22,42,-346,121,A,-0.9365,0.9692,74.9S,107.7E,20,263,321,01m53s
09448,1972 July 10,19:46:38,43,-340,126,T,0.6872,1.0379,63.5N,94.2W,46,209,175,02m36s
09449,1973 January 4,15:46:21,43,-334,131,A,-0.2644,0.9303,37.9S,51.2W,74,346,271,07m49s
09450,1973 June 30,11:38:41,44,-328,136,T,-0.0785,1.0792,18.8N,5.6E,86,9,256,07m04s
09451,1973 December 24,15:02:44,44,-322,141,A,0.4171,0.9174,1.1N,48.5W,65,174,345,12m02s
09452,1974 June 20,04:48:04,45,-316,146,T,-0.8239,1.0592,32.1S,103.7E,34,5,344,05m09s
09453,1974 December 13,16:13:13,45,-310,151,P,1.0797,0.8266,66.8N,69.4W,0,176,,
09454,1975 May 11,07:17:33,46,-305,118,P,1.0647,0.8636,69.7N,80.2W,0,28,,
09455,1975 November 3,13:15:54,46,-299,123,P,-1.0248,0.9588,70.4S,161.7W,0,141,,
09456,1976 April 29,10:24:18,47,-293,128,A,0.3378,0.9421,34.0N,18.3E,70,165,227,06m41s
09457,1976 October 23,05:13:45,47,-287,133,T,-0.327,1.0572,30.0S,92.3E,71,17,199,04m46s
09458,1977 April 18,10:31:30,48,-281,138,A,-0.399,0.9449,11.9S,28.3E,66,345,220,07m04s
09459,1977 October 12,20:27:27,48,-275,143,T,0.3836,1.0269,14.1N,123.6W,67,197,99,02m37s
09460,1978 April 7,15:03:47,49,-269,148,P,-1.1081,0.7883,71.9S,23.3E,0,293,,
09461,1978 October 2,06:28:43,49,-263,153,P,1.1616,0.6905,72.0N,159.6E,0,259,,
09462,1979 February 26,16:55:06,50,-258,120,T,0.8981,1.0391,52.1N,94.5W,26,153,298,02m49s
09463,1979 August 22,17:22:38,50,-252,125,A,-0.9632,0.9329,59.6S,108.5W,15,29,953,06m03s
09464,1980 February 16,08:54:01,51,-246,130,T,0.2224,1.0434,0.1S,47.1E,77,166,149,04m08s
09465,1980 August 10,19:12:21,51,-240,135,A,-0.1915,0.9727,4.6N,108.9W,79,12,100,03m23s
09466,1981 February 4,22:09:24,51,-234,140,A,-0.4838,0.9937,44.4S,140.8W,61,344,25,00m33s
09467,1981 July 31,03:46:37,52,-228,145,T,0.5792,1.0258,53.3N,134.1E,54,195,108,02m02s
09468,1982 January 25,04:42:53,52,-222,150,P,-1.2311,0.5663,69.3S,91.7W,0,203,,
09469,1982 June 21,12:04:33,53,-217,117,P,-1.2102,0.6168,65.9S,13.2E,0,347,,
09470,1982 July 20,18:44:44,53,-216,155,P,1.2886,0.4643,68.6N,64.2E,0,345,,
09471,1982 December 15,09:32:09,53,-211,122,P,1.1293,0.735,65.3N,56.9E,0,199,,
09472,1983 June 11,04:43:33,53,-205,127,T,-0.4947,1.0524,6.2S,114.2E,60,351,199,05m11s
09473,1983 December 4,12:31:15,54,-199,132,A,0.4015,0.9666,0.9N,4.7W,66,192,131,04m01s
09474,1984 May 30,16:45:41,54,-193,137,A,0.2755,0.998,37.5N,76.7W,74,163,7,00m11s
09475,1984 November 22,22:54:17,54,-187,142,T,-0.3132,1.0237,37.8S,173.6W,72,21,85,02m00s
09476,1985 May 19,21:29:38,55,-181,147,P,1.072,0.8406,63.2N,81.1E,0,41,,
09477,1985 November 12,14:11:27,55,-175,152,T,-0.9795,1.0388,68.6S,142.6W,11,111,690,01m59s
09478,1986 April 9,06:21:22,55,-170,119,P,-1.0822,0.8236,61.2S,161.4E,0,286,,
09479,1986 October 3,19:06:15,55,-164,124,H,0.9931,1,59.9N,37.1W,5,252,1,00m00s
09480,1987 March 29,12:49:47,55,-158,129,H,-0.3053,1.0013,12.3S,2.3W,72,331,5,00m08s
